,lineage,focal.ID,round,treatment,f0.mother,collection.date,sex,size.mm,log size,larvalsize.mm,adult.size.mm,age,gomp,loggomp,resid,var
131,11,10,1,h,e,2/04/2020,f,0.6681,-0.175158528,0.0989,0.668,27,0.697300679,-0.156579912,-0.018578616,0.000345165
132,11,16,1,h,g,3/04/2020,f,0.6718,-0.17276,0.1041,0.672,33,0.698591846,-0.155776488,-0.016983512,0.00028844
133,10,20,1,l,h,3/04/2020,f,0.749,-0.125518182,0.0974,0.749,26,0.716532212,-0.144764281,0.019246099,0.000370412
134,10,22,1,l,h,3/04/2020,f,0.8035,-0.095014119,0.0973,0.804,27,0.717569434,-0.144136069,0.04912195,0.002412966
135,15,13,1,h,e,3/04/2020,f,0.6036,-0.219250769,0.0996,0.604,31,0.698351794,-0.155925747,-0.063325022,0.004010058
136,15,14,1,h,e,3/04/2020,f,0.6352,-0.197089511,0.1057,0.635,31,0.698351794,-0.155925747,-0.041163764,0.001694455
137,15,15,1,h,e,3/04/2020,f,0.668,-0.175223538,0.1023,0.668,29,0.697955318,-0.156172379,-0.019051159,0.000362947
138,16,5,1,l,b,3/04/2020,f,0.71025,-0.148588758,0.0919,0.71,32,0.720409015,-0.142420861,-0.006167897,3.8043E-05
139,18,13,1,h,d,3/04/2020,f,0.7667,-0.115374537,0.099,0.767,37,0.698825119,-0.155631493,0.040256956,0.001620622
140,18,15,1,h,i,3/04/2020,f,0.6154,-0.210842508,0.0939,0.615,30,0.698178288,-0.156033661,-0.054808847,0.00300401
141,13,1,1,h,a,4/04/2020,f,0.6615,-0.179470151,0.1056,0.662,34,0.698673575,-0.155725682,-0.023744469,0.0005638
142,12,17,1,h,h,4/04/2020,f,0.6595,-0.1807852,0.1015,0.66,36,0.698786632,-0.155655412,-0.025129788,0.000631506
143,20,19,1,l,h,4/04/2020,f,0.7019,-0.153724758,0.0977,0.702,34,0.720919948,-0.142112957,-0.011611801,0.000134834
144,11,23,1,h,j,4/04/2020,f,0.6739,-0.171404544,0.0997,0.674,34,0.698673575,-0.155725682,-0.015678862,0.000245827
145,16,13,1,l,d,4/04/2020,f,0.6435,-0.191451449,0.1001,0.644,33,0.720692078,-0.142250252,-0.049201197,0.002420758
146,16,19,1,l,g,4/04/2020,f,0.6582,-0.181642122,0.1064,0.658,34,0.720919948,-0.142112957,-0.039529165,0.001562555
147,14,5,1,l,b,4/04/2020,f,0.6301,-0.20059052,0.0955,0.63,32,0.720409015,-0.142420861,-0.058169659,0.003383709
148,14,7,1,l,c,4/04/2020,f,0.5844,-0.233289793,0.0961,0.584,19,0.697802281,-0.156267615,-0.077022178,0.005932416
