lineage,focal.ID,round,cc2,f0 mother,collection.date,larvalsize.mm,juvenile.sizing.date,juvenile.size.mm,final.moult.date,first.clutch date,delta,days.to.adulthood,sex,adult.size.mm,no.adult.photo,size.at.death,death stage (l/j/a),death date,days.to.death,unpaired,up
19,16,2,19.2,h,4/05/2020,,,,18/05/2020,30/05/2020,12,14,f,0.694,,0.6937,a,17/06/2020,44,,
19,17,2,19.2,i,4/05/2020,0.0985,8/05/2020,0.2648,22/05/2020,1/06/2020,10,18,f,0.761,,0.7608,a,14/07/2020,71,,
19,18,2,19.2,i,4/05/2020,,,,21/05/2020,,,17,f,0.773,,0.7732,a,14/07/2020,71,,
19,19,2,19.2,j,8/05/2020,0.0977,12/05/2020,0.2844,,,,14,m,0.565,,0.5649,a,22/06/2020,45,,
19,20,2,19.2,j,8/05/2020,,,,22/05/2020,11/06/2020,20,14,f,0.678,,0.6782,a,1/07/2020,54,,
4,1,2,4.2,a,1/05/2020,0.0971,4/05/2020,0.2698,,,,,m,0.418,,0.4175,a,13/05/2020,12,,
4,2,2,4.2,a,1/05/2020,0.0928,4/05/2020,0.2636,,,,13,m,0.493,,0.4927,a,6/07/2020,66,,
4,3,2,4.2,a,1/05/2020,,,,,,,15,m,0.575,,0.5747,a,14/07/2020,74,,
4,4,2,4.2,a,1/05/2020,,,,,,,16,m,0.547,,0.547,a,12/06/2020,42,,
4,5,2,4.2,b,2/05/2020,0.1241,5/05/2020,0.28,,,,,m,,1,,a,26/05/2020,24,,
4,6,2,4.2,b,2/05/2020,0.0959,7/05/2020,0.2546,,,,17,m,0.491,,0.4907,a,7/06/2020,36,,
4,7,2,4.2,b,2/05/2020,,,,,,,19,m,,1,,a,23/05/2020,21,,
4,8,2,4.2,b,2/05/2020,,,,14/05/2020,15/05/2020,1,12,f,0.734,,0.7339,a,3/06/2020,32,,
4,9,2,4.2,c,4/05/2020,0.0959,7/05/2020,0.2671,,,,,,,,0.4187,j,14/05/2020,10,,
4,10,2,4.2,c,4/05/2020,0.0965,7/05/2020,0.2702,,,,14,m,0.569,,0.5693,a,14/07/2020,71,,
4,11,2,4.2,c,4/05/2020,,,,,,,14,m,0.563,,0.5629,a,14/07/2020,71,,
4,12,2,4.2,c,4/05/2020,,,,,,,,m,0.505,,0.5048,a,16/05/2020,12,,
4,13,2,4.2,d,10/05/2020,0.0936,,,,,,,,,,0.1266,l,13/05/2020,3,,
4,14,2,4.2,d,10/05/2020,0.0955,,,,,,,,,,0.094,l,14/05/2020,4,,
4,15,2,4.2,d,10/05/2020,,,,,,,,,,,0.2421,j,27/05/2020,17,,
4,16,2,4.2,d,10/05/2020,,,,,,,19,m,,1,,a,17/06/2020,38,,
4,17,2,4.2,e,17/05/2020,0.095,22/05/2020,0.2426,,,,22,m,0.483,,0.4825,a,14/06/2020,28,,
4,18,2,4.2,e,17/05/2020,0.1035,22/05/2020,0.2462,,,,22,m,0.487,,0.4869,a,1/07/2020,45,,
4,19,2,4.2,e,17/05/2020,,,,,,,22,m,0.487,,0.4872,a,1/07/2020,45,,
4,20,2,4.2,e,17/05/2020,,,,,,,19,m,0.461,,0.4612,a,14/07/2020,58,,
8,1,2,8.2,a,1/05/2020,0.0947,4/05/2020,0.275,,,,13,m,0.471,,0.4706,a,29/06/2020,59,,
8,2,2,8.2,a,1/05/2020,0.0962,5/05/2020,0.2766,,,,14,m,0.506,,0.5062,a,2/06/2020,32,,
8,3,2,8.2,a,1/05/2020,,,,18/05/2020,25/05/2020,7,17,f,0.649,,0.649,a,9/06/2020,39,,
8,4,2,8.2,a,1/05/2020,,,,,,,15,m,0.543,,0.5429,a,19/06/2020,49,,
8,5,2,8.2,d,8/05/2020,0.0963,11/05/2020,0.2584,,,,10,m,0.543,,0.5434,a,6/07/2020,59,,
8,6,2,8.2,d,8/05/2020,0.0944,,,,,,17,m,0.607,,0.6074,a,6/07/2020,59,,
8,7,2,8.2,d,8/05/2020,,,,,,,,,,,0.2436,j,23/05/2020,15,,
8,8,2,8.2,d,8/05/2020,,,,,,,,m,0.543,,0.5425,a,14/07/2020,67,,
8,9,2,8.2,e,11/05/2020,0.0865,,,,,,,,,,0.0886,l,13/05/2020,2,,
8,10,2,8.2,e,11/05/2020,0.0904,16/05/2020,0.2482,30/05/2020,5/06/2020,6,19,f,0.695,,0.6952,a,29/06/2020,49,,
8,11,2,8.2,e,11/05/2020,,,,,,,,,,,0.0831,l,15/05/2020,4,,
8,12,2,8.2,e,11/05/2020,,,,,,,,,,,,,,,,
8,13,2,8.2,f,12/05/2020,0.0865,16/05/2020,0.2349,31/05/2020,4/06/2020,4,19,f,,1,,a,27/07/2020,76,,
8,14,2,8.2,f,12/05/2020,0.0997,22/05/2020,0.3108,30/05/2020,,,18,f,0.837,,0.8369,a,21/07/2020,70,,
8,15,2,8.2,f,12/05/2020,,,,,,,,,,,0.0809,l,15/05/2020,3,,
8,16,2,8.2,f,12/05/2020,,,,,,,18,m,0.601,,0.6013,a,21/07/2020,70,,
8,17,2,8.2,g,19/05/2020,0.0948,25/05/2020,0.2427,,,,19,m,0.537,,0.5367,a,21/07/2020,63,,
8,18,2,8.2,g,19/05/2020,0.0951,24/05/2020,0.3111,,,,17,m,0.556,,0.5556,a,17/07/2020,59,,
8,19,2,8.2,g,19/05/2020,,,,,,,,m,0.537,,0.5374,a,17/07/2020,59,,
8,20,2,8.2,g,19/05/2020,,,,,,,,m,0.529,,0.5289,a,6/07/2020,48,,
17,1,2,17.2,a,3/05/2020,0.0951,,,,,,,m,0.517,,0.5171,a,22/06/2020,50,,
17,2,2,17.2,a,3/05/2020,0.0936,7/05/2020,0.299,18/05/2020,29/05/2020,11,15,f,0.829,,0.8293,a,26/06/2020,54,,
17,3,2,17.2,a,3/05/2020,,,,18/05/2020,24/05/2020,6,15,f,0.793,,0.7927,a,8/06/2020,36,,
17,4,2,17.2,a,3/05/2020,,,,,,,,m,0.531,,0.531,a,29/06/2020,57,,
17,5,2,17.2,b,4/05/2020,0.094,8/05/2020,0.2818,20/05/2020,28/05/2020,8,16,f,0.666,,0.6664,a,16/06/2020,43,,
17,6,2,17.2,b,4/05/2020,0.1012,7/05/2020,0.2631,17/05/2020,30/05/2020,13,13,f,0.718,,0.7175,a,22/06/2020,49,,
17,7,2,17.2,b,4/05/2020,,,,,,,14,m,0.651,,0.651,a,2/06/2020,29,,
17,8,2,17.2,b,4/05/2020,,,,20/05/2020,13/06/2020,24,16,f,0.713,,0.7134,a,14/07/2020,71,,
17,9,2,17.2,c,4/05/2020,0.0915,8/05/2020,0.279,,,,18,m,0.608,,0.6079,a,29/06/2020,56,,
17,10,2,17.2,c,4/05/2020,0.0857,8/05/2020,0.2569,,,,,m,0.528,,0.528,a,29-Jun-20,56,,
17,11,2,17.2,c,4/05/2020,,,,,,,21,m,0.536,,0.5359,a,29/06/2020,56,,
17,12,2,17.2,c,4/05/2020,,,,,,,15,m,0.594,,0.5943,a,21-Jul-20,78,,
17,13,2,17.2,d,4/05/2020,0.0986,7/05/2020,0.2485,,,,17,m,0.565,,0.5651,a,5-Jun-20,32,,
17,14,2,17.2,d,4/05/2020,0.0913,7/05/2020,0.2592,,,,12,m,0.482,,0.4818,a,26/06/2020,53,,
17,15,2,17.2,d,4/05/2020,,,,16/05/2020,20/05/2020,4,12,f,0.674,,0.6744,a,7/06/2020,34,,
17,16,2,17.2,d,4/05/2020,,,,,,,17,m,0.49,,0.4902,a,1/06/2020,28,,
17,17,2,17.2,e,5/05/2020,0.0758,9/05/2020,0.2791,,,,15,m,,1,,a,10/06/2020,36,,
17,18,2,17.2,e,5/05/2020,0.0703,9/05/2020,0.2742,,,,15,m,0.571,,0.5708,a,22/06/2020,48,,
17,19,2,17.2,e,5/05/2020,,,,,,,15,m,0.555,,0.5551,a,3/06/2020,29,,
17,20,2,17.2,e,5/05/2020,,,,,,,16,m,0.542,,0.5423,a,10/06/2020,36,,
